States / Union Territories,All Categories - Classes I-V(6-10 Years) - Boys,All Categories - Classes I-V(6-10 Years) - Girls,All Categories - Classes I-V(6-10 Years) - Total,All Categories - Classes VI-VIII(11-13 Years) - Boys,All Categories - Classes VI-VIII(11-13 Years) - Girls,All Categories - Classes VI-VIII(11-13 Years) - Total,All Categories - Classes I-VIII(6-13 Years) - Boys,All Categories - Classes I-VIII(6-13 Years) - Girls,All Categories - Classes I-VIII(6-13 Years) - Total,Gross Enrollment Ratio  Classes ( I-VIII)
Andhra Pradesh,92.2,93.6,92.8,76.5,78.5,77.5,86.1,87.7,86.9,86.99
Arunachal Pradesh,136.3,130.8,133.6,86,83,84.5,117.6,112.9,115.3,106.7
Assam,79.9,83.2,81.5,64.3,67.1,65.7,74.2,77.3,75.7,91.92
Bihar,100.1,97.7,99,66.4,63.8,65.2,88.9,86.6,87.8,65.16
Chhattisgarh,115.9,112.4,114.1,90.8,86.4,88.6,106.5,102.6,104.6,112.63
Goa,117.7,114.1,115.9,115.8,109.3,112.7,116.9,112.3,114.7,106.04
Gujarat,110.1,110.8,110.4,80.7,75.2,78.2,98.9,97.2,98.1,101.7
Haryana,85.9,93.9,89.5,76.7,83.6,79.8,82.4,90,85.8,80.01
Himachal Pradesh,101.2,102.6,101.8,103.1,101.7,102.4,101.9,102.2,102.1,108.74
Jammu and Kashmir,88.1,91.2,89.6,79.5,77.8,78.7,85,86.2,85.6,74.45
Jharkhand,116.2,118.3,117.2,76.9,78.1,77.5,102.2,104.1,103.1,75.82
Karnataka,103.8,101.4,102.6,91.9,90.2,91.1,99.2,97.1,98.2,98.76
Kerala,87.4,87.2,87.3,97.8,95.2,96.5,91.4,90.4,90.9,95.35
Madhya Pradesh,121.6,127.1,124.3,93.3,97.8,95.5,111.2,116.3,113.7,114.09
Maharashtra,102.5,101.6,102.1,93.5,90.9,92.3,99,97.5,98.3,105.7
Manipur,130.9,135.8,133.3,82.9,87.3,85,112.7,117.3,114.9,129.65
Meghalaya,128.9,134.4,131.6,77.9,89.5,83.6,110.2,117.9,114,121.93
Mizoram,124.9,117.6,121.3,95.3,90.5,92.9,114,107.7,110.9,109.51
Nagaland,91.1,91,91,60.2,62.4,61.3,79.3,80.2,79.7,75.76
Orissa,107.6,105.8,106.7,75.2,73.3,74.3,95.2,93.2,94.2,108.47
Punjab,106.7,106.6,106.6,92.8,91.9,92.4,101.3,101,101.2,72.57
Rajasthan,104.6,103.8,104.2,80.7,73.2,77.2,95.8,92.5,94.3,102.67
Sikkim,132,132,132,90.3,106.7,98.4,115.3,121.9,118.6,111.49
Tamil Nadu,114.8,116.7,115.7,104.9,105.9,105.4,110.9,112.5,111.7,113.96
Tripura,115.3,115.9,115.6,102.2,102.5,102.4,110.3,110.8,110.5,109.59
Uttar Pradesh,109.1,112.9,110.9,77.2,71.2,74.4,97.7,98,97.8,87.04
Uttarakhand,93.5,95.7,94.5,80.8,84.9,82.7,88.7,91.5,90,106.39
West Bengal,113.7,116.9,115.3,81.9,92.3,87,101.4,107.4,104.4,94.67
Andaman and Nicobar Islands,102.8,102.9,102.8,106.6,103.4,105.1,104.3,103.1,103.7,107.97
Chandigarh,104.4,108.6,106.3,108,106.2,107.2,105.8,107.7,106.6,71.87
Dadra and Nagar Haveli,108.1,106.7,107.4,100.7,95.6,98.3,105.4,102.7,104.1,113.7
Daman and Diu,99.4,95.3,97.5,92.1,90.8,91.5,96.8,93.7,95.3,128.85
Delhi,112.9,116.8,114.7,105,105.7,105.3,109.9,112.6,111.1,91.84
Lakshadweep,104.8,100.3,102.6,113.6,117.6,115.7,108.1,107.4,107.7,58.75
Puducherry,108.4,106.6,107.5,114.2,112.8,113.5,110.6,109,109.8,121.34
